,country,clusters,total
477,Hungary,21,0.0
478,Hungary,22,0.0
479,Hungary,23,0.0
480,India,0,0.0
481,India,1,0.0
482,India,2,0.0
483,India,3,0.0
484,India,4,0.0
485,India,5,0.0
486,India,6,0.0
487,India,7,0.0
488,India,8,0.0
489,India,9,0.0
490,India,10,0.0
491,India,11,0.0
492,India,12,0.0
493,India,13,0.0
494,India,14,0.0
495,India,15,0.0
496,India,16,0.0
497,India,17,0.0
498,India,18,0.0
499,India,19,0.0
500,India,20,0.0
501,India,21,0.0
502,India,22,0.0
503,India,23,0.0
504,Israel,0,0.0
505,Israel,1,0.0
506,Israel,2,0.0
507,Israel,3,0.0
508,Israel,4,0.0
509,Israel,5,0.02
510,Israel,6,0.0
511,Israel,7,0.01
512,Israel,8,0.0
513,Israel,9,0.0
514,Israel,10,0.0
515,Israel,11,0.01
516,Israel,12,0.0
517,Israel,13,0.01
518,Israel,14,0.0
519,Israel,15,0.0
520,Israel,16,0.0
521,Israel,17,0.0
522,Israel,18,0.0
523,Israel,19,0.0
524,Israel,20,0.02
525,Israel,21,0.0
526,Israel,22,0.0
527,Israel,23,0.0
528,Italy,0,0.02
529,Italy,1,0.15
530,Italy,2,0.14
531,Italy,3,0.01
532,Italy,4,0.01
533,Italy,5,0.17
534,Italy,6,0.98
535,Italy,7,0.17
536,Italy,8,0.31
537,Italy,9,0.02
538,Italy,10,0.0
539,Italy,11,0.17
540,Italy,12,0.05
541,Italy,13,0.12
542,Italy,14,0.0
543,Italy,15,0.08
544,Italy,16,0.01
545,Italy,17,0.12
546,Italy,18,0.07
547,Italy,19,0.04
548,Italy,20,0.25
549,Italy,21,0.02
550,Italy,22,0.06
551,Italy,23,0.01
552,Lebanon,0,0.0
553,Lebanon,1,0.0
554,Lebanon,2,0.0
555,Lebanon,3,0.0
556,Lebanon,4,0.0
557,Lebanon,5,0.0
558,Lebanon,6,0.0
559,Lebanon,7,0.0
560,Lebanon,8,0.0
561,Lebanon,9,0.0
562,Lebanon,10,0.0
563,Lebanon,11,0.0
564,Lebanon,12,0.0
565,Lebanon,13,0.0
566,Lebanon,14,0.0
567,Lebanon,15,0.0
568,Lebanon,16,0.0
569,Lebanon,17,0.0
570,Lebanon,18,0.0
571,Lebanon,19,0.0
572,Lebanon,20,0.0
573,Lebanon,21,0.0
574,Lebanon,22,0.0
575,Lebanon,23,0.0
576,Luxembourg,0,0.0
577,Luxembourg,1,0.0
578,Luxembourg,2,0.0
579,Luxembourg,3,0.0
580,Luxembourg,4,0.0
581,Luxembourg,5,0.0
582,Luxembourg,6,0.0
583,Luxembourg,7,0.0
584,Luxembourg,8,0.0
585,Luxembourg,9,0.0
586,Luxembourg,10,0.0
587,Luxembourg,11,0.0
588,Luxembourg,12,0.0
589,Luxembourg,13,0.0
590,Luxembourg,14,0.0
591,Luxembourg,15,0.0
592,Luxembourg,16,0.0
593,Luxembourg,17,0.0
594,Luxembourg,18,0.0
595,Luxembourg,19,0.0
596,Luxembourg,20,0.0
597,Luxembourg,21,0.0
598,Luxembourg,22,0.0
599,Luxembourg,23,0.0
600,Macedonia,0,0.0
601,Macedonia,1,0.0
602,Macedonia,2,0.0
603,Macedonia,3,0.0
604,Macedonia,4,0.0
605,Macedonia,5,0.0
606,Macedonia,6,0.0
607,Macedonia,7,0.0
608,Macedonia,8,0.0
609,Macedonia,9,0.0
610,Macedonia,10,0.0
611,Macedonia,11,0.0
612,Macedonia,12,0.0
613,Macedonia,13,0.0
614,Macedonia,14,0.0
615,Macedonia,15,0.0
616,Macedonia,16,0.0
617,Macedonia,17,0.0
618,Macedonia,18,0.0
619,Macedonia,19,0.0
620,Macedonia,20,0.0
621,Macedonia,21,0.0
622,Macedonia,22,0.0
623,Macedonia,23,0.0
624,Mexico,0,0.0
625,Mexico,1,0.0
626,Mexico,2,0.0
627,Mexico,3,0.0
628,Mexico,4,0.0
629,Mexico,5,0.0
630,Mexico,6,0.0
631,Mexico,7,0.0
632,Mexico,8,0.0
633,Mexico,9,0.0
634,Mexico,10,0.0
635,Mexico,11,0.0
636,Mexico,12,0.0
637,Mexico,13,0.0
638,Mexico,14,0.0
639,Mexico,15,0.0
640,Mexico,16,0.0
641,Mexico,17,0.0
642,Mexico,18,0.0
643,Mexico,19,0.0
644,Mexico,20,0.0
645,Mexico,21,0.0
646,Mexico,22,0.0
647,Mexico,23,0.0
648,Moldova,0,0.0
649,Moldova,1,0.0
650,Moldova,2,0.0
651,Moldova,3,0.0
652,Moldova,4,0.0
653,Moldova,5,0.0
654,Moldova,6,0.0
655,Moldova,7,0.0
656,Moldova,8,0.0
657,Moldova,9,0.0
658,Moldova,10,0.0
659,Moldova,11,0.0
660,Moldova,12,0.0
661,Moldova,13,0.0
662,Moldova,14,0.0
663,Moldova,15,0.0
664,Moldova,16,0.0
665,Moldova,17,0.0
666,Moldova,18,0.0
667,Moldova,19,0.0
668,Moldova,20,0.0
669,Moldova,21,0.0
670,Moldova,22,0.0
671,Moldova,23,0.0
672,Morocco,0,0.0
673,Morocco,1,0.0
674,Morocco,2,0.0
675,Morocco,3,0.0
676,Morocco,4,0.0
677,Morocco,5,0.01
678,Morocco,6,0.0
679,Morocco,7,0.0
680,Morocco,8,0.0
681,Morocco,9,0.0
682,Morocco,10,0.0
683,Morocco,11,0.0
684,Morocco,12,0.0
685,Morocco,13,0.0
686,Morocco,14,0.0
687,Morocco,15,0.0
688,Morocco,16,0.0
689,Morocco,17,0.0
690,Morocco,18,0.0
691,Morocco,19,0.0
692,Morocco,20,0.0
693,Morocco,21,0.0
694,Morocco,22,0.0
695,Morocco,23,0.0
696,New Zealand,0,0.01
697,New Zealand,1,0.02
698,New Zealand,2,0.01
699,New Zealand,3,0.0
700,New Zealand,4,0.0
701,New Zealand,5,0.01
702,New Zealand,6,0.0
703,New Zealand,7,0.0
704,New Zealand,8,0.0
705,New Zealand,9,0.0
706,New Zealand,10,0.0
707,New Zealand,11,0.01
708,New Zealand,12,0.08
709,New Zealand,13,0.0
710,New Zealand,14,0.0
711,New Zealand,15,0.0
712,New Zealand,16,0.05
713,New Zealand,17,0.01
714,New Zealand,18,0.01
715,New Zealand,19,0.0
716,New Zealand,20,0.01
717,New Zealand,21,0.0
718,New Zealand,22,0.05
719,New Zealand,23,0.0
720,Peru,0,0.0
721,Peru,1,0.0
722,Peru,2,0.0
723,Peru,3,0.0
724,Peru,4,0.0
725,Peru,5,0.0
726,Peru,6,0.0
727,Peru,7,0.0
728,Peru,8,0.0
729,Peru,9,0.0
730,Peru,10,0.0
731,Peru,11,0.0
732,Peru,12,0.0
733,Peru,13,0.0
734,Peru,14,0.0
735,Peru,15,0.0
736,Peru,16,0.0
737,Peru,17,0.0
738,Peru,18,0.0
739,Peru,19,0.0
740,Peru,20,0.0
741,Peru,21,0.0
742,Peru,22,0.0
743,Peru,23,0.0
744,Portugal,0,0.03
745,Portugal,1,0.01
746,Portugal,2,0.05
747,Portugal,3,0.17
748,Portugal,4,0.27
749,Portugal,5,0.0
750,Portugal,6,0.0
751,Portugal,7,0.01
752,Portugal,8,0.0
753,Portugal,9,0.25
754,Portugal,10,0.0
755,Portugal,11,0.03
756,Portugal,12,0.0
757,Portugal,13,0.03
758,Portugal,14,0.0
759,Portugal,15,0.02
760,Portugal,16,0.01
761,Portugal,17,0.02
762,Portugal,18,0.01
763,Portugal,19,0.01
764,Portugal,20,0.0
765,Portugal,21,0.0
766,Portugal,22,0.01
767,Portugal,23,0.2
768,Romania,0,0.0
769,Romania,1,0.0
770,Romania,2,0.0
771,Romania,3,0.0
772,Romania,4,0.0
773,Romania,5,0.0
774,Romania,6,0.0
775,Romania,7,0.0
776,Romania,8,0.0
777,Romania,9,0.0
778,Romania,10,0.0
779,Romania,11,0.0
780,Romania,12,0.0
781,Romania,13,0.0
782,Romania,14,0.0
783,Romania,15,0.0
784,Romania,16,0.0
785,Romania,17,0.0
786,Romania,18,0.0
787,Romania,19,0.0
788,Romania,20,0.0
789,Romania,21,0.0
