,country,variety,harvest,rating_cat,price,points,wineries,reviews
107,Argentina,Cabernet Sauvignon,2007,3,24.0,90.0,2,2
108,Argentina,Cabernet Sauvignon,2008,0,15.166666666666666,81.16666666666667,6,6
109,Argentina,Cabernet Sauvignon,2008,1,16.47826086956522,84.52173913043478,22,23
110,Argentina,Cabernet Sauvignon,2008,2,29.0,87.66666666666667,8,9
111,Argentina,Cabernet Sauvignon,2009,0,9.857142857142858,81.85714285714286,7,7
112,Argentina,Cabernet Sauvignon,2009,1,14.285714285714286,84.64285714285714,13,14
113,Argentina,Cabernet Sauvignon,2009,2,20.894736842105264,87.6842105263158,16,19
114,Argentina,Cabernet Sauvignon,2009,3,27.0,90.33333333333333,3,3
115,Argentina,Cabernet Sauvignon,2010,0,13.0,81.16666666666667,6,6
116,Argentina,Cabernet Sauvignon,2010,1,14.96774193548387,84.375,29,32
117,Argentina,Cabernet Sauvignon,2010,2,18.3,87.85,16,20
118,Argentina,Cabernet Sauvignon,2010,3,25.333333333333332,90.44444444444444,7,9
119,Argentina,Cabernet Sauvignon,2011,0,13.181818181818182,81.54545454545455,10,11
120,Argentina,Cabernet Sauvignon,2011,1,14.107142857142858,84.53571428571429,27,28
121,Argentina,Cabernet Sauvignon,2011,2,17.296296296296298,87.75,25,28
122,Argentina,Cabernet Sauvignon,2011,3,64.57142857142857,90.85714285714286,6,7
123,Argentina,Cabernet Sauvignon,2012,0,15.166666666666666,80.33333333333333,5,6
124,Argentina,Cabernet Sauvignon,2012,1,14.142857142857142,84.76666666666667,27,30
125,Argentina,Cabernet Sauvignon,2012,2,18.655172413793103,87.65517241379311,26,29
126,Argentina,Cabernet Sauvignon,2012,3,64.61538461538461,91.23076923076923,12,13
127,Argentina,Cabernet Sauvignon,2013,0,15.0,80.0,1,1
128,Argentina,Cabernet Sauvignon,2013,1,14.210526315789474,85.0,15,19
129,Argentina,Cabernet Sauvignon,2013,2,19.88235294117647,88.05882352941177,14,17
130,Argentina,Cabernet Sauvignon,2013,3,53.72727272727273,91.27272727272727,8,11
131,Argentina,Cabernet Sauvignon,2014,0,13.333333333333334,81.16666666666667,6,6
132,Argentina,Cabernet Sauvignon,2014,1,15.3,84.9,18,20
133,Argentina,Cabernet Sauvignon,2014,2,17.321428571428573,87.82142857142857,21,28
