,country,province,region_1,variety,price
117,Argentina,Mendoza Province,Tupungato,Pinot Gris,2
118,Argentina,Mendoza Province,Tupungato,Pinot Noir,7
119,Argentina,Mendoza Province,Tupungato,Red Blend,10
120,Argentina,Mendoza Province,Tupungato,Rosé,1
121,Argentina,Mendoza Province,Tupungato,Sauvignon Blanc,12
122,Argentina,Mendoza Province,Tupungato,Sparkling Blend,1
123,Argentina,Mendoza Province,Tupungato,Torrontés,3
124,Argentina,Mendoza Province,Tupungato,Viognier,2
125,Argentina,Mendoza Province,Tupungato,White Blend,3
126,Argentina,Mendoza Province,Uco Valley,Bonarda,1
127,Argentina,Mendoza Province,Uco Valley,Bordeaux-style Red Blend,4
128,Argentina,Mendoza Province,Uco Valley,Cabernet Franc,3
129,Argentina,Mendoza Province,Uco Valley,Cabernet Franc-Cabernet Sauvignon,1
130,Argentina,Mendoza Province,Uco Valley,Cabernet Sauvignon,22
131,Argentina,Mendoza Province,Uco Valley,Cabernet Sauvignon-Merlot,3
132,Argentina,Mendoza Province,Uco Valley,Champagne Blend,1
133,Argentina,Mendoza Province,Uco Valley,Chardonnay,24
134,Argentina,Mendoza Province,Uco Valley,Malbec,124
135,Argentina,Mendoza Province,Uco Valley,Malbec-Bonarda,1
136,Argentina,Mendoza Province,Uco Valley,Malbec-Cabernet Franc,4
137,Argentina,Mendoza Province,Uco Valley,Malbec-Cabernet Sauvignon,4
138,Argentina,Mendoza Province,Uco Valley,Malbec-Merlot,2
139,Argentina,Mendoza Province,Uco Valley,Malbec-Syrah,3
140,Argentina,Mendoza Province,Uco Valley,Malbec-Tannat,1
141,Argentina,Mendoza Province,Uco Valley,Malbec-Tempranillo,2
142,Argentina,Mendoza Province,Uco Valley,Merlot,2
143,Argentina,Mendoza Province,Uco Valley,Pinot Grigio,1
144,Argentina,Mendoza Province,Uco Valley,Pinot Gris,0
145,Argentina,Mendoza Province,Uco Valley,Pinot Noir,4
146,Argentina,Mendoza Province,Uco Valley,Red Blend,22
147,Argentina,Mendoza Province,Uco Valley,Rosado,1
148,Argentina,Mendoza Province,Uco Valley,Rosé,3
149,Argentina,Mendoza Province,Uco Valley,Sauvignon Blanc,11
150,Argentina,Mendoza Province,Uco Valley,Syrah,4
151,Argentina,Mendoza Province,Uco Valley,Syrah-Malbec,1
152,Argentina,Mendoza Province,Uco Valley,Tempranillo,5
153,Argentina,Mendoza Province,Uco Valley,Tempranillo-Malbec,0
154,Argentina,Mendoza Province,Uco Valley,Torrontés,4
155,Argentina,Mendoza Province,Uco Valley,Viognier,5
156,Argentina,Mendoza Province,Uco Valley,White Blend,1
157,Argentina,Mendoza Province,Valle de Uco,Bordeaux-style Red Blend,3
158,Argentina,Mendoza Province,Valle de Uco,Cabernet Franc,2
